suburbName,value
BARTON,723189316
BARTON,723189316
CANBERRA,723189316
CAPITAL HILL,723189316
DEAKIN,723189316
DUNTROON,723189316
FAIRBAIRN RAAF,723189316
HARMAN,723189316
HMAS HARMAN,723189316
PARKES,723189316
PARLIAMENT HOUSE,723189316
RUSSELL,723189316
RUSSELL HILL,723189316
YARRALUMLA,723189316
ACTON,251686879
BLACK MOUNTAIN,251686879
CANBERRA,251686879
CITY,251686879
AINSLIE,1864216741
DICKSON,1864216741
DOWNER,1864216741
HACKETT,1864216741
LYNEHAM,1864216741
O'CONNOR,1864216741
WATSON,1864216741
FORREST,947207102
GRIFFITH,947207102
MANUKA,947207102
RED HILL,947207102
CAUSEWAY,882380982
KINGSTON,882380982
NARRABUNDAH,882380982
CURTIN,804051982
GARRAN,804051982
HUGHES,804051982
CHIFLEY,686281718
LYONS,686281718
O'MALLEY,686281718
PHILLIP,686281718
SWINGER HILL,686281718
WODEN,686281718
FARRER,856978181
ISAACS,856978181
MAWSON,856978181
PEARCE,856978181
TORRENS,856978181
CANBERRA INTERNATIONAL AIRPORT,42314059
FYSHWICK,42314059
PIALLIGO,42314059
SYMONSTON,42314059
CANBERRA MC,4290023
BRINDABELLA,1918506317
CHAPMAN,1918506317
DUFFY,1918506317
FISHER,1918506317
HOLDER,1918506317
MOUNT STROMLO,1918506317
PIERCES CREEK,1918506317
RIVETT,1918506317
STIRLING,1918506317
URIARRA,1918506317
URIARRA FOREST,1918506317
WARAMANGA,1918506317
WESTON,1918506317
WESTON CREEK,1918506317
BRADDON,1176043096
CAMPBELL,1176043096
REID,1176043096
TURNER,1176043096
ARANDA,1053930390
COOK,1053930390
HAWKER,1053930390
JAMISON CENTRE,1053930390
MACQUARIE,1053930390
PAGE,1053930390
SCULLIN,1053930390
WEETANGERA,1053930390
CHARNWOOD,2104978987
DUNLOP,2104978987
FOREY,2104978987
FLYNN,2104978987
FRASER,2104978987
HIGGINS,2104978987
HOLT,2104978987
KIPPAX,2104978987
KIPPAX CENTRE,2104978987
LATHAM,2104978987
MACGREGOR,2104978987
MELBA,2104978987
SPENCE,2104978987
BELCONNEN,10533426
BELCONNEN,1767049327
BELCONNEN DC,1767049327
BRUCE,1767049327
EVATT,1767049327
GIRALANG,1767049327
KALEEN,1767049327
LAWSON,1767049327
MCKELLAR,1767049327
GREENWAY,204546143
TUGGERANONG,204546143
KAMBAH,5198339
ERINDALE CENTRE,718296323
OXLEY,455365310
WANNIASSA,455365310
FADDEN,670208364
GOWRIE,670208364
MACARTHUR,670208364
MONASH,670208364
BONYTHON,1324699900
CALWELL,1324699900
CHISHOLM,1324699900
GILMORE,1324699900
ISABELLA PLAINS,1324699900
RICHARDSON,1324699900
THEORDORE,1324699900
BANKS,862002781
CONDER,862002781
GORDON,862002781
CRACE,257069021
MITCHELL,257069021
FRANKLIN,377941338
GINNINDERRA VILLAGE,1900222389
NGUNNAWAL,1900222389
NICHOLLS,1900222389
PALMERSTON,1900222389
AMAROO,1649634789
BONNER,1649634789
FORDE,1649634789
HARRISON,15008943


GUNGAHLIN, 1142123417
JACKA, 1920319824
TAYLOR, 1824479954
CASEY, 1762563401
HALL, 1959835726
THROSBY, 18987256
FLOREY, 1971041210
CANBERRA CENTRAL, 1922941383
MOLONGLO VALLEY, 1746793202
MOLONGLO, 194353472
DENMAN PROSPECT, 1789239172
COOMBS, 1821902343
WODEN VALLEY, 195174261

MAJURA, 892732412
CANBERRA AIRPORT, 297425412
KOWEN, 912977214
JERRABOMBERRA, 822347245
BEARD, 782132346
HUME, 983129132
THEODORE, 871592352

MACNAMARA, 213412400
COREE,107321411
STROMLO, 531736321
PADDYS RIVER, 122452315
TENNENT, 189814291
COTTER RIVER, 21398421
RENDEZVOUS CREEK, 287523411
BOOTH, 123744304
MOUNT CLEAR, 259234429
