suburbName,value
BARTON,13482090
BARTON,13482090
CANBERRA,13482090
CAPITAL HILL,13482090
DEAKIN,13482090
DUNTROON,13482090
FAIRBAIRN RAAF,13482090
HARMAN,13482090
HMAS HARMAN,13482090
PARKES,13482090
PARLIAMENT HOUSE,13482090
RUSSELL,13482090
RUSSELL HILL,13482090
YARRALUMLA,13482090
ACTON,4276876
BLACK MOUNTAIN,4276876
CANBERRA,4276876
CITY,4276876
AINSLIE,33769253
DICKSON,33769253
DOWNER,33769253
HACKETT,33769253
LYNEHAM,33769253
O'CONNOR,33769253
WATSON,33769253
FORREST,17898135
GRIFFITH,17898135
MANUKA,17898135
RED HILL,17898135
CAUSEWAY,16021670
KINGSTON,16021670
NARRABUNDAH,16021670
CURTIN,14894439
GARRAN,14894439
HUGHES,14894439
CHIFLEY,12079997
LYONS,12079997
O'MALLEY,12079997
PHILLIP,12079997
SWINGER HILL,12079997
WODEN,12079997
FARRER,15681167
ISAACS,15681167
MAWSON,15681167
PEARCE,15681167
TORRENS,15681167
CANBERRA INTERNATIONAL AIRPORT,758929
FYSHWICK,758929
PIALLIGO,758929
SYMONSTON,758929
CANBERRA MC,37287
BRINDABELLA,35505842
CHAPMAN,35505842
DUFFY,35505842
FISHER,35505842
HOLDER,35505842
MOUNT STROMLO,35505842
PIERCES CREEK,35505842
RIVETT,35505842
STIRLING,35505842
URIARRA,35505842
URIARRA FOREST,35505842
WARAMANGA,35505842
WESTON,35505842
WESTON CREEK,35505842
BRADDON,20445418
CAMPBELL,20445418
REID,20445418
TURNER,20445418
ARANDA,19187188
COOK,19187188
HAWKER,19187188
JAMISON CENTRE,19187188
MACQUARIE,19187188
PAGE,19187188
SCULLIN,19187188
WEETANGERA,19187188
CHARNWOOD,38874517
DUNLOP,38874517
FOREY,38874517
FLYNN,38874517
FRASER,38874517
HIGGINS,38874517
HOLT,38874517
KIPPAX,38874517
KIPPAX CENTRE,38874517
LATHAM,38874517
MACGREGOR,38874517
MELBA,38874517
SPENCE,38874517
BELCONNEN,197345
BELCONNEN,30956031
BELCONNEN DC,30956031
BRUCE,30956031
EVATT,30956031
GIRALANG,30956031
KALEEN,30956031
LAWSON,30956031
MCKELLAR,30956031
GREENWAY,3697684
TUGGERANONG,3697684
KAMBAH,101890
ERINDALE CENTRE,13212684
OXLEY,8425430
WANNIASSA,8425430
FADDEN,12483674
GOWRIE,12483674
MACARTHUR,12483674
MONASH,12483674
BONYTHON,24650512
CALWELL,24650512
CHISHOLM,24650512
GILMORE,24650512
ISABELLA PLAINS,24650512
RICHARDSON,24650512
THEORDORE,24650512
BANKS,16074189
CONDER,16074189
GORDON,16074189
CRACE,4554085
MITCHELL,4554085
FRANKLIN,6064042
GINNINDERRA VILLAGE,34085871
NGUNNAWAL,34085871
NICHOLLS,34085871
PALMERSTON,34085871
AMAROO,29052374
BONNER,29052374
FORDE,29052374
HARRISON,261653


GUNGAHLIN, 1421231
JACKA, 9203193
TAYLOR, 8244792
CASEY, 7656341
HALL, 9983572
THROSBY, 3898724
FLOREY, 2914121
CANBERRA CENTRAL, 2941382
MOLONGLO VALLEY, 1793203
MOLONGLO, 3353474
DENMAN PROSPECT, 9239173
COOMBS, 3802342
WODEN VALLEY, 3574214

MAJURA, 2732413
CANBERRA AIRPORT, 2925412
KOWEN, 9977212
JERRABOMBERRA, 2247244
BEARD, 8232342
HUME, 8319131
THEODORE, 2852354

MACNAMARA, 3412402
COREE, 2571413
STROMLO, 3533621
PADDYS RIVER, 3145234
TENNENT, 3098493
COTTER RIVER, 2839822
RENDEZVOUS CREEK, 3252411
BOOTH, 2937401
MOUNT CLEAR, 3224421
