suburbName,value
BARTON,9946751
BARTON,9946751
CANBERRA,9946751
CAPITAL HILL,9946751
DEAKIN,9946751
DUNTROON,9946751
FAIRBAIRN RAAF,9946751
HARMAN,9946751
HMAS HARMAN,9946751
PARKES,9946751
PARLIAMENT HOUSE,9946751
RUSSELL,9946751
RUSSELL HILL,9946751
YARRALUMLA,9946751
ACTON,1847357
BLACK MOUNTAIN,1847357
CANBERRA,1847357
CITY,1847357
AINSLIE,16174213
DICKSON,16174213
DOWNER,16174213
HACKETT,16174213
LYNEHAM,16174213
O'CONNOR,16174213
WATSON,16174213
FORREST,11117381
GRIFFITH,11117381
MANUKA,11117381
RED HILL,11117381
CAUSEWAY,7550441
KINGSTON,7550441
NARRABUNDAH,7550441
CURTIN,9212463
GARRAN,9212463
HUGHES,9212463
CHIFLEY,5435761
LYONS,5435761
O'MALLEY,5435761
PHILLIP,5435761
SWINGER HILL,5435761
WODEN,5435761
FARRER,8153591
ISAACS,8153591
MAWSON,8153591
PEARCE,8153591
TORRENS,8153591
CANBERRA INTERNATIONAL AIRPORT,405393
FYSHWICK,405393
PIALLIGO,405393
SYMONSTON,405393
CANBERRA MC,339
BRINDABELLA,13830227
CHAPMAN,13830227
DUFFY,13830227
FISHER,13830227
HOLDER,13830227
MOUNT STROMLO,13830227
PIERCES CREEK,13830227
RIVETT,13830227
STIRLING,13830227
URIARRA,13830227
URIARRA FOREST,13830227
WARAMANGA,13830227
WESTON,13830227
WESTON CREEK,13830227
BRADDON,10009059
CAMPBELL,10009059
REID,10009059
TURNER,10009059
ARANDA,9161180
COOK,9161180
HAWKER,9161180
JAMISON CENTRE,9161180
MACQUARIE,9161180
PAGE,9161180
SCULLIN,9161180
WEETANGERA,9161180
CHARNWOOD,12085279
DUNLOP,12085279
FOREY,12085279
FLYNN,12085279
FRASER,12085279
HIGGINS,12085279
HOLT,12085279
KIPPAX,12085279
KIPPAX CENTRE,12085279
LATHAM,12085279
MACGREGOR,12085279
MELBA,12085279
SPENCE,12085279
BELCONNEN,179348
BELCONNEN,12665218
BELCONNEN DC,12665218
BRUCE,12665218
EVATT,12665218
GIRALANG,12665218
KALEEN,12665218
LAWSON,12665218
MCKELLAR,12665218
GREENWAY,1256876
TUGGERANONG,1256876
KAMBAH,37000
ERINDALE CENTRE,5838369
OXLEY,3592429
WANNIASSA,3592429
FADDEN,5890543
GOWRIE,5890543
MACARTHUR,5890543
MONASH,5890543
BONYTHON,7739400
CALWELL,7739400
CHISHOLM,7739400
GILMORE,7739400
ISABELLA PLAINS,7739400
RICHARDSON,7739400
THEORDORE,7739400
BANKS,4397287
CONDER,4397287
GORDON,4397287
CRACE,1420893
MITCHELL,1420893
FRANKLIN,1489143
GINNINDERRA VILLAGE,10959089
NGUNNAWAL,10959089
NICHOLLS,10959089
PALMERSTON,10959089
AMAROO,5620387
BONNER,5620387
FORDE,5620387
HARRISON,76451

GUNGAHLIN,31421231
JACKA,29203193
TAYLOR,28244792
CASEY,37656341
HALL,29983572
THROSBY,3898724
FLOREY,29104121
CANBERRA CENTRAL,22941382
MOLONGLO VALLEY,14793203
MOLONGLO,34353474
DENMAN PROSPECT,29239173
COOMBS,38902342
WODEN VALLEY,35174214

MAJURA,2732413
CANBERRA AIRPORT,29425412
KOWEN,9977212
JERRABOMBERRA,8247244
BEARD,8232342
HUME,8319131
THEODORE,8152354

MACNAMARA,2412402
COREE,731413
STROMLO,5373621
PADDYS RIVER,1245234
TENNENT,1984293
COTTER RIVER,239822
RENDEZVOUS CREEK,2752411
BOOTH,1374301
MOUNT CLEAR,2924421
