value,value,value,value,value,value,value,value,value,suburbName
47789,49199,50559,51798,50592,53360,56015,56898,62558,KEMBLAWARRA
45233,47765,47932,47962,48562,50706,52826,52443,55062,BERKELEY
58760,59917,61943,62251,64178,67774,70954,71984,73702,COALCLIFF
65123,71900,70423,72588,71410,75854,78756,80566,86889,AUSTINMER
61749,64271,66037,67173,69438,70669,73755,75660,82912,BULLI
55762,57295,58928,59639,60998,64209,64561,65886,70247,RUSSELL VALE
50521,51969,52543,53233,53761,58141,58707,60290,63608,BELLAMBI
53287,54479,56693,56822,56877,59813,61980,63268,67556,BALGOWNIE
53568,55755,56825,57931,58393,60781,63316,64806,69196,FIGTREE
54416,55447,56546,57532,58179,60356,62455,63981,67415,CORDEAUX
48905,50946,51052,52452,52333,54763,56506,58134,61210,ALBION PARK
45138,46637,47667,48715,48360,50020,52434,53065,56489,BARRACK HEIGHTS
51966,53598,54814,55894,56559,57879,60123,61696,65410,BALARANG
48568,49773,50747,51605,52098,54349,56747,57674,60869,AVONDALE
53303,56003,55720,58255,58289,58882,61585,62260,68437,BOMBO
50908,53207,54108,56344,57562,61263,63053,64026,75477,BROUGHTON VILLAGE
45905,48046,50357,52283,54436,57337,59368,62216,68903,BACK FOREST
39710,41273,42598,43001,43106,44798,47387,46803,50702,BATEHAVEN
40210,41869,42380,43297,43801,45336,47679,47852,52660,BERGALIA
41737,45663,45027,46352,49146,51857,52536,51978,59647,BROOMAN
37474,38996,39867,40984,41149,42291,44177,45801,51251,BAWLEY POINT
42795,44513,45451,46332,46453,47733,49432,50777,56011,BAMARANG
43926,44689,46058,46998,47587,49368,50339,51549,55382,BANGALEE
34214,39480,40397,40663,40656,43225,45770,45404,49519,BELOWRA
36956,37927,38788,39435,39775,41026,43587,42893,48801,AKOLELE
40840,42285,43388,45132,45477,46352,49057,49198,54692,BERRAMBOOL
41047,43071,44588,46021,46114,46973,47385,48440,53055,BALD HILLS
40870,44057,43652,45052,45724,46280,46206,47260,50642,ANGLEDALE
42070,42880,43771,44523,43963,44842,44761,45158,48841,BOYDTOWN
42491,45356,44384,49051,49176,49454,54880,56345,55429,BADGERYS CREEK
51673,56263,56062,57831,57165,60293,69263,69531,89989,BRINGELLY
51361,54338,55666,58859,59705,61429,62563,64001,68945,CATHERINE FIELD
47958,48396,49605,51150,51396,52994,55145,55796,58169,EAGLE VALE
38637,38766,40424,41064,42007,42058,44728,45023,47684,BLAIRMOUNT
47999,48869,50003,51093,51254,53064,54532,55157,57813,AIRDS
45477,53124,51810,56344,62224,77728,57695,61953,55535,MENANGLE PARK
43560,44365,45092,46073,46320,48525,48781,49257,51790,GLENQUARIE
50187,52209,56397,53592,54549,55805,58445,59686,63750,BARDIA
47117,47976,48778,49967,49773,51736,53078,54652,55981,BOW BOWING
55800,57117,58663,59962,60526,62236,64196,65888,70090,CURRANS HILL
55222,56597,58559,59053,59143,61522,61318,61495,68373,MENANGLE
55822,55877,56310,59277,57918,59922,60208,63592,80274,DOUGLAS PARK
56579,58040,59612,63713,62726,64414,66125,66821,70854,BELIMBLA PARK
55644,59026,59937,61519,61280,64178,66296,67665,71296,BALMORAL
52343,53500,56482,56137,56115,58813,60991,62189,64915,LAKESLAND
47424,49046,50300,51691,52421,53427,55557,57275,60629,TAHMOOR
49466,50180,52183,53297,53581,56190,57705,59088,61306,AVON
51106,53998,53998,55872,58634,61702,61535,65242,69009,ALPINE
59581,61289,63141,66868,69117,71978,73237,72357,118373,BONG BONG
49313,51249,53659,54962,57493,59207,60450,60789,71155,AVOCA
42066,44819,44036,45635,47221,50107,52737,54106,57943,BUNDANOON
46315,47859,47655,51419,53216,54492,58281,57230,60801,BIG HILL
47366,47867,49599,51127,51606,53531,54768,55876,59929,BANNABY
46880,49034,52507,54569,56809,58509,59390,60643,63583,BELLMOUNT FOREST
56283,57083,59344,62712,62708,64212,66042,68284,72806,BANGO
37223,38928,42495,44091,44602,46518,47933,47567,54320,BIGGA
42357,39013,44996,44567,46533,49937,52774,50730,59814,BINALONG
42544,40260,55863,52706,69573,74416,57862,55137,51369,GALONG
38692,39827,42444,43517,44567,48618,47672,46934,52065,BOOROWA
41757,41383,44578,47329,47440,47558,49250,48994,54952,AURVILLE
50587,54780,61110,66220,59816,63398,61680,59312,71904,CULLINGA
43891,44746,45640,45920,46879,47138,48527,49595,52998,BETHUNGRA
41744,43431,45242,45756,45989,47513,48109,49432,53090,ASHVILLE
94695,94265,101142,102063,102131,107634,112280,119465,122533,BARTON
58893,66876,65023,68957,64948,64939,64871,67940,70147,ACTON
65862,68424,68256,70885,71274,72821,75693,79393,83191,AINSLIE
99578,116150,112012,122886,110394,115723,119441,126534,130993,FORREST
79109,81898,83477,86280,87389,90095,91603,95374,98678,CAUSEWAY
76797,78479,80446,85548,85567,89276,91007,93937,101151,CURTIN
64661,68359,68323,70222,70051,72332,75418,78499,80042,CHIFLEY
68005,69960,70360,76151,73301,75608,80761,81882,87482,FARRER
63364,66034,61817,63438,64339,74737,70769,68496,74366,CANBERRA AIRPORT
65344,67428,68302,70543,71177,73202,76240,78780,82773,BIMBERI
67749,70468,72772,74512,75381,78786,82788,83268,88771,BRADDON
64028,67137,66419,67911,68119,69983,71345,74845,78040,ARANDA
57779,58699,59089,60995,61351,62606,65140,67505,70511,CHARNWOOD
59045,60470,60255,61766,62144,62638,64845,66027,69079,BELCONNEN
64881,74806,72083,74805,76708,92931,89450,92439,103492,HALL
74270,76747,78329,79907,85334,83936,87157,90031,94384,JERRABOMBERRA
59375,60712,61481,63894,64230,67120,70376,72644,75286,BEARD
65168,65328,68634,72253,70025,74231,73702,79321,83384,ANEMBO
42808,44068,46167,49288,49881,50329,51372,55686,57170,ARALUEN
51234,52851,50717,49964,53125,56117,59512,59924,64973,CAPTAINS FLAT
37551,36759,40536,47724,48346,50107,52192,54089,64171,THREDBO
50065,52801,52239,53422,55549,58585,62304,62989,64313,BREDBO
45558,47238,47983,49052,50722,53224,55741,57957,63244,BULLOCKS FLAT
40337,40729,42612,45894,44200,45716,47775,48968,52425,AVONSIDE
35617,40298,37826,39235,41154,37828,38936,44050,54075,ADAMINABY
45406,47395,48109,48963,50949,52510,53153,55408,59395,ARABLE
42078,45490,48968,54954,55733,56810,46380,43824,50329,ANDO
43780,45729,46239,49550,52468,51937,52447,53618,56583,BIBBENLUKE
32783,39933,43793,45407,47019,43443,40917,41895,45223,CORROWONG
50321,51856,54856,54200,54217,56000,58284,59713,63947,ALBURY
42713,43360,44045,44505,44999,46218,48662,48022,51144,HAMILTON VALLEY
44770,45805,47621,47682,48162,49636,49895,50018,54752,BIDGEEMIA
40458,40590,42473,42920,42447,45546,46912,47199,50127,HOWLONG
43848,42317,48710,48746,47865,53341,46423,53690,60391,BOWNA
43969,44365,47794,51074,47084,42941,43817,42782,52929,COONONG
43695,44191,46176,46511,44896,47334,46187,47218,51074,BALLDALE
43027,43279,43801,43352,42454,46495,47050,46082,49697,MULWALA
35350,39090,40774,41446,43813,46872,42747,41104,47176,ANABRANCH NORTH
49888,51213,52709,54599,54756,56870,58155,59573,63511,ALFREDTOWN
45729,47243,48107,50030,50658,53135,53826,56686,57370,FOREST HILL
41055,47226,47433,47733,49416,47605,47628,47013,53062,BOORGA
39824,43100,46410,47368,48418,48699,51123,50617,54256,BURRA
43509,44435,45218,46460,44955,49786,47515,50102,55251,BIRDLIP
45990,47726,47242,52011,48139,43727,43346,48024,53028,BROOKDALE
37872,38215,39626,43524,42256,45093,44327,45055,49117,GRUBBEN
37873,39346,43684,42618,40678,41904,42172,43079,50228,ALMA PARK
40049,42293,45142,44872,46110,48500,48053,47623,53192,CARNSDALE
51302,57126,58008,66018,63617,61368,66491,70009,69802,KAPOOKA
44197,45012,46699,46926,48234,49758,51538,52028,54582,BUNDURE
34611,39779,40493,45613,44476,36397,35800,32650,45535,ARDLETHAN
42147,42713,43661,46101,45508,44835,48108,45102,49880,COMBANING
39724,42697,45221,44654,40964,42774,44150,32007,50141,BARMEDMAN
36427,47506,45225,45642,46305,38205,40631,26179,39236,BYGALORIE
43967,46928,48909,48675,50888,50017,50902,51619,60151,ALLEENA
45328,48418,48064,47800,46184,45572,43884,42629,51147,BURGOONEY
48263,46301,47541,45793,45618,45578,45895,47173,45966,HILLSTON
43873,45195,46804,49066,48941,51189,53989,54390,56793,BEELBANGERA
43039,46171,47644,46532,46096,48213,49837,51166,55988,MYALL PARK
40254,42111,43469,45055,44640,44033,46747,48243,52409,BIRREGO
47850,47186,47472,52725,50633,49208,51746,49871,60757,BERRY JERRY
41824,48042,50036,48566,46183,41383,48789,45450,60398,GANMAIN
39013,39713,41905,42889,43149,46671,48678,49152,49434,YANCO
41654,43424,44748,46587,47664,48494,49955,50995,52858,BROBENAH
40866,39945,42618,44440,44954,45165,49494,52405,56392,DARLINGTON POINT
37623,39363,44477,46800,43805,44205,46664,43981,38024,ARGOON
40170,41907,44387,42786,43721,47278,45986,45811,47578,BARRATTA
39408,41925,43248,44479,45893,47244,46293,47722,50523,BOOLIGAL
38052,39501,46227,43357,41662,44690,44603,54735,44946,BERRIGAN
35569,38590,39912,39994,39348,41124,40717,41424,44183,BLIGHTY
37096,39459,40609,43367,42597,43407,45709,46421,49302,ARATULA
40911,45479,44719,46786,47206,52230,45427,45626,52058,ARUMPO
41734,44301,45672,47428,47745,47924,48975,46913,60239,COREE SOUTH
38111,39168,40032,42498,42707,44746,50432,51370,49187,COOMEALLA
47979,49445,50659,51922,52114,53821,55280,56279,59581,ARGALONG
30692,33190,38370,45172,31799,39643,23289,24221,26973,BLAND
39413,42391,45209,47611,47594,47622,45887,48221,50641,BONGALONG
43068,49772,45492,45549,44003,45856,49005,46960,53833,STOCKINBINGAL
38558,39506,45630,45129,45757,45299,50472,43500,48250,BUNDARBO
37453,39317,46852,52868,56720,58765,50442,58027,69455,ADJUNGBILLY
41658,43191,49583,50361,51237,51606,51170,54029,58047,ADELONG
38921,39569,40123,41969,42406,44104,46019,46406,49535,BAGO
43574,44430,47575,47776,65831,52995,53309,53434,57749,BUNNALOO
36053,39143,43000,40262,40586,44392,42656,42313,46948,BARHAM
38809,43029,45532,43771,40323,45536,46801,46655,43369,DHURAGOON
32634,30283,29802,32058,33069,36151,35353,34781,37034,KORALEIGH
41047,35927,39396,39674,43467,92165,61040,48862,54863,GOODNIGHT
38259,34171,40735,48511,67408,52912,53269,53464,54179,BENANEE
45569,46726,50933,53352,62285,56824,59216,60489,63516,GOL GOL
39664,40615,42466,48699,49321,52011,53206,54706,59982,BOEILL CREEK
57115,59029,61006,62614,63640,66058,67484,69597,76115,GLENMORE PARK
48601,50022,50980,53241,54181,57939,57867,59434,62118,CADDENS
57423,58923,63040,66440,70144,75225,71976,72378,87989,ORCHARD HILLS
53329,54755,56104,57692,58313,59980,61571,62678,65594,CASTLEREAGH
51536,53192,53681,55274,56164,58356,59596,61292,63896,EMU HEIGHTS
51768,55184,54352,57006,58085,60425,62087,64338,67648,SILVERDALE
50243,52539,54435,54963,56367,57914,60093,60893,66600,AGNES BANKS
49657,51505,51439,53696,55639,56396,58260,60360,65325,NORTH RICHMOND
50567,52733,54996,57339,58226,60874,61491,63125,66901,BLIGH PARK
49353,50634,49972,57998,51614,56935,57512,66854,86494,KURMOND
53954,55937,57273,58769,60601,61581,64654,65374,69237,BERAMBING
50183,51455,52582,54259,55050,56613,58723,59605,62099,ERSKINE PARK
45749,46840,47822,49389,50268,52590,53200,54159,56305,COLYTON
48217,49253,50164,51562,52776,54511,55782,57329,60381,COLEBEE
49922,52231,55770,57905,59466,62419,64983,69199,73440,SCHOFIELDS
52441,53549,54253,56164,56936,58242,59694,61142,65720,ACACIA GARDENS
50468,53220,54652,59455,59890,63913,65061,67531,72158,ANGUS
47486,48301,48943,50585,51372,52665,53998,54825,57375,EASTERN CREEK
48129,49641,50192,51620,51814,52858,54452,55438,58539,BUNGARRIBEE
57471,58986,59747,61593,62160,64254,66259,68818,74177,GLENWOOD
64871,66519,66308,69577,68712,70754,72654,76764,82760,THE PONDS
42612,43351,44219,45640,46062,47313,48276,48915,50852,BIDWILL
61377,64083,65076,68422,69854,72938,74729,78344,81361,GLENBROOK
55840,57390,58905,59983,60752,63526,65047,66526,71771,BLAXLAND
46409,47559,51633,54498,55480,56625,55182,54615,59644,CENTRAL MACDONALD
53623,55570,56147,58728,60249,61662,64118,64569,68502,FAULCONBRIDGE
53418,55191,56627,57666,59210,60591,62181,64643,67906,HAWKESBURY HEIGHTS
52687,53752,55351,57472,57347,58215,59304,61023,64374,LINDEN
49341,50237,51507,52382,53537,55096,56214,59083,60640,HAZELBROOK
45764,49579,47036,48505,48973,50825,52451,54697,60069,KATOOMBA
49663,50970,52985,56560,56138,57727,59466,61511,66244,WENTWORTH FALLS
46569,48391,48051,49702,50943,53402,53056,55801,57954,LAWSON
47239,51664,51372,52477,52575,52921,54674,57485,62999,BULLABURRA
47313,47445,47593,49940,52128,51483,52876,55420,59333,BLACKHEATH
50094,49309,49875,46873,48475,49278,52966,53119,55273,BELL
43403,45008,47897,49686,48246,50338,51055,51596,55938,BLACK SPRINGS
51758,54034,53843,53368,54202,55762,56901,58061,61048,BEN BULLEN
46492,46673,47870,51044,54875,49358,45646,51342,57174,CARCOAR
43404,46708,54040,53352,54578,48182,42951,51863,49236,BURNT YARDS
32553,44712,50091,49199,50992,48368,50396,50119,44151,DARBYS FALLS
39831,41154,42461,43087,43556,45286,46318,48136,49557,BUMBALDRY
49690,51036,52396,53635,53915,55398,56889,57919,61939,ABERCROMBIE
39952,38717,41250,38844,43682,45128,43508,46505,50992,GARLAND
54615,55038,60440,61258,62522,65116,63597,66043,71754,BENEREE
46723,47016,47633,48756,49969,50645,51975,53177,57092,BARRY
53016,53928,55016,56388,57449,59782,60380,62513,66777,AMMERDOWN
36990,34459,36211,39867,37155,43990,42775,41874,50416,BENDICK MURRELL
37730,37897,43041,44926,44800,44191,44774,42868,48771,BILLIMARI
32015,39282,39205,49298,55793,42488,39910,42196,51041,GOOLOOGONG
36390,42932,45718,48283,46025,47758,45005,44026,50280,EUGOWRA
31537,36216,39691,49348,40498,42450,42254,39400,45219,KOORAWATHA
35844,33556,37495,40612,42191,39823,38882,38764,43236,WYANGALA
36439,41439,43648,48549,47592,49074,48682,52027,62987,GREENETHORPE
38954,43056,42885,47597,43445,47750,43611,37670,43398,BIMBI
39919,42111,43829,44413,45276,44706,44052,43340,48983,APSLEY
40797,43100,44359,45737,46442,47683,45996,44579,51382,BURROWAY
41338,43331,45097,45189,50715,49652,41561,37725,50414,BUNDEMAR
46247,46378,50675,53177,50077,51005,46340,43381,55811,BEEMUNNEL
46519,50133,55670,54221,59587,52386,51960,46407,54729,BABINDA
40028,39295,42831,44187,44361,42814,41818,37655,45348,BEARBONG
34886,40359,39760,45202,44336,42106,27696,30572,38282,ARMATREE
41383,36949,42864,44607,52979,45218,35302,53416,49971,BILLEROY
47760,49140,50402,51469,52600,54002,55081,56437,63377,BALLIMORE
34710,36411,41851,42234,45988,43579,34374,27633,41650,ARMATREE
45165,33487,31898,28470,46448,40825,31259,25787,42781,ANGLEDOOL
48309,34766,35613,34845,45960,41841,38204,40531,42901,COLLARENEBRI
36706,36182,34765,36621,39333,39342,40038,40316,45416,ANGLEDOOL
61421,66324,68156,65033,67871,67304,65554,66460,68718,BULLA
40825,44939,49299,51549,53840,50120,40300,50521,56336,GEMVILLE
42449,39119,41887,46058,48796,44686,45041,44356,50526,BREWARRINA
40138,42677,47819,48712,53334,50848,48154,54307,55138,BARRINGUN
28110,28317,36071,32354,36283,35391,33147,34403,36263,MENDOORAN
34704,35469,40558,39466,39076,44216,35035,38287,41428,COOLAH
35429,37487,43349,47557,47958,47061,46714,39881,46834,BIRRIWA
56801,55580,54312,53335,54601,56518,59525,60337,62589,ANGUS PLACE
42694,40906,40372,38779,39421,41360,45590,51594,58982,AIRLY
53053,55494,53103,51164,50981,52135,54330,55207,58815,PIPERS FLAT
45333,46268,44321,42787,41279,41429,44802,44909,46892,BROGANS CREEK
38910,45924,39923,42912,46025,48705,49467,45006,48564,BOGEE
52034,53699,52964,54475,54571,58085,59866,60574,64148,AARONS PASS
49474,58948,49724,49284,48993,52892,52613,51812,55120,BARNEYS REEF
44040,43944,45788,48183,47314,48224,53070,49744,57068,BOREE
41273,42916,45703,47054,48299,49024,46714,48306,55721,BOCOBRA
43257,44012,47222,48016,48511,54342,49432,49867,58155,AMAROO
36001,36558,41372,43356,44889,42951,40873,42798,44045,BALDRY
41968,43659,44594,45551,41463,38533,28099,28163,37141,BOURNEWOOD
33632,37010,40131,40069,38201,39147,36026,35712,42021,MUNGERY
47631,47930,48402,49872,49653,51310,51862,53147,58011,ALECTOWN
41840,44450,46386,50888,47564,49784,48762,47463,55045,BANDON
36928,38869,47693,45736,43823,36018,21565,9822,32535,ALBERT
32018,34048,40428,41738,42272,40035,30149,22034,39830,TULLAMORE
33321,39084,40300,39408,44037,37896,34212,29953,43060,BRUIE PLAINS
30117,30513,37682,36834,37158,31066,19160,14875,33548,BOGAN GATE
40867,42639,44109,44121,46325,45272,38422,35999,45437,BOBADAH
47485,59971,71898,61715,70099,63826,36969,54965,56395,BEILPAJAH
45420,53897,53192,53281,51488,55001,60241,62745,52507,COPI HOLLOW
49853,50431,51951,53226,54346,55695,57395,58404,60329,BROKEN HILL
44492,49370,46397,49157,67795,57562,65075,53338,61369,LORD HOWE ISLAND
59801,60724,62703,67532,68330,66211,68147,69255,70826,GREENWAY
60892,61344,62305,64308,63729,64601,67072,70111,72343,KAMBAH
60619,60666,60556,62808,62870,65123,67501,69646,73636,ERINDALE CENTRE
64708,65285,66650,68642,68536,70224,72502,74719,77213,FADDEN
58859,60141,60258,62188,62840,64311,66525,68266,71332,BONYTHON
60215,61447,61792,63630,63503,65176,67937,70217,73057,BANKS
64458,66707,66445,70942,71410,74017,76268,78600,82000,CRACE
56739,58286,58678,60562,60275,58829,59959,61115,64972,GUNGAHLIN
63364,64201,63791,65549,66052,66958,68828,70348,73967,CASEY
64508,65409,66536,68439,67512,69070,70731,72809,77003,AMAROO
51948,52829,50108,52515,51761,59625,52766,53481,54967,MELBOURNE
102741,112768,114843,119280,130048,185437,135387,143099,142604,EAST MELBOURNE
56471,57488,58095,59999,59351,61479,62345,64092,67076,WEST MELBOURNE
82077,92513,86624,87809,88947,119389,83531,88749,92235,MELBOURNE
70039,68055,71389,70515,69895,68855,70688,68827,70851,SOUTH WHARF
77142,68430,72583,70764,65743,66581,68227,72250,74203,DOCKLANDS
48143,49377,50543,52051,53981,56672,58959,62174,63889,FOOTSCRAY
50336,50989,52091,53426,55200,57534,60122,62099,67668,BROOKLYN
62376,64322,66550,69084,72158,76176,79283,81261,88029,YARRAVILLE
62143,64899,67041,70392,72413,76194,79061,82045,86488,NEWPORT
72363,77373,77520,80986,83343,87688,91274,91477,99535,WILLIAMSTOWN
53659,55882,56915,59517,61481,66632,68462,71563,74897,ALTONA
39160,39746,40139,41794,42303,44059,45074,47224,51182,BRAYBROOK
40849,41065,41929,42423,43431,45106,46453,48010,51841,ALBION
39165,39755,39793,40482,40744,42224,42707,43660,46264,ALBANVALE
43507,43548,44075,46095,46453,48939,50227,52109,54160,ARDEER
47879,48526,49158,50419,51082,53627,54552,55821,57916,BURNSIDE
48405,48521,48763,49607,50391,53173,54203,56213,58573,FIELDSTONE
48334,49145,51182,53948,55413,59444,62562,65636,69136,ALTONA EAST
49973,59189,62112,75435,83577,63394,57504,56940,60728,DERRIMUT
53654,54280,55187,55994,56590,58405,59565,60851,65316,LAVERTON RAAF
46559,47393,48213,49624,50742,52982,54047,56934,58958,ALTONA MEADOWS
47124,47566,47662,48129,48979,50248,50926,52021,54961,HOPPERS CROSSING
52051,52961,54100,54790,55642,57932,59240,60876,64006,CHARTWELL
59596,60648,61430,63615,65413,68530,71707,74176,77580,FLEMINGTON
58358,61454,61552,63775,65002,66869,68825,71547,75679,ASCOT VALE
50602,52561,54614,57301,58584,61626,63189,65724,71439,KEILOR EAST
50031,51844,52573,53776,55374,59217,60202,62695,65782,AVONDALE HEIGHTS
60054,60882,61919,63834,63782,68304,68827,71640,74678,KEILOR
47812,48569,49491,50952,52251,54351,56293,57387,59885,CALDER PARK
48363,50181,50939,52287,54130,56020,57584,58450,61606,KEILOR DOWNS
66027,67581,69624,72342,72958,77380,77184,80874,84341,MOONEE PONDS
67463,68503,70504,71658,74615,78507,82489,83071,89822,ABERFELDIE
60834,62468,63709,67419,69354,72132,74030,75433,82433,CROSS KEYS
50848,53099,54675,56688,59114,61604,63001,66322,70869,AIRPORT WEST
47250,48293,51087,50267,51609,53728,61942,57767,58598,GLADSTONE PARK
53200,54411,55753,57774,59343,63219,64842,67857,71409,PASCOE VALE
44997,46005,47018,48499,50032,51743,53049,55002,59346,GLENROY
36979,37552,37610,38148,38510,39113,40002,41043,44038,BROADMEADOWS
37337,37288,37593,38956,39752,40305,40741,41416,44753,COOLAROO
48574,50017,51182,52277,53497,55402,56730,58470,60602,ATTWOOD
54002,55890,61061,59529,58687,61332,63070,67138,69941,HOTHAM HILL
62092,61180,62960,64663,63078,63419,67883,67302,73644,MELBOURNE UNIVERSITY
52332,55562,53638,54200,54642,57770,57543,58009,56977,CARLTON
68500,72572,77077,73284,76536,80665,84504,87321,97779,CARLTON NORTH
53367,54937,55752,57547,59050,61399,63527,66184,70608,BRUNSWICK SOUTH
53254,54570,56437,58336,59608,63092,64588,68224,73809,BRUNSWICK
55350,55695,57766,58703,61317,64199,67039,70464,75974,BRUNSWICK EAST
50069,51503,53067,54763,56684,59316,61596,64296,68950,BATMAN
53226,54596,55366,55992,58429,59971,62263,63283,66909,GREENVALE
41544,42090,42633,44491,44683,46768,47476,48833,53380,FAWKNER
38477,43241,40117,40946,43354,43571,45186,47755,49030,CAMPBELLFIELD
73638,68606,81232,102349,67116,80302,101387,99990,127624,SOMERTON
57202,56470,58183,61279,56452,57224,61621,67533,75260,OAKLANDS JUNCTION
44738,45187,45665,46734,47799,48948,50087,50969,53708,CRAIGIEBURN
65705,68323,67770,72678,77138,80098,81627,86056,94158,FITZROY
57486,60821,59956,62699,65707,69980,73585,75765,83545,COLLINGWOOD
61478,60393,62268,65474,68021,71646,73960,77663,81450,ABBOTSFORD
70968,73350,74669,76105,79037,85523,88946,95294,101058,CLIFTON HILL
61394,63547,66375,67606,70339,74352,78238,82409,91990,NORTHCOTE
53851,55949,56633,59073,61134,64458,67390,70066,76016,THORNBURY
48100,49543,51160,53207,54641,57362,59508,62470,66785,GILBERTON
44380,45433,46521,47650,48798,50789,52396,54760,58975,KEON PARK
40820,40966,41457,42300,43162,44958,46434,48053,50390,THOMASTOWN
40335,40947,42247,42988,43992,46793,46739,48439,51536,LALOR
44068,44523,45197,46252,47173,49231,50654,51397,55307,EPPING
66795,69705,70651,73663,74662,79210,85825,86885,94576,ALPHINGTON
74984,79123,89478,83361,85255,89530,92354,91221,100425,IVANHOE
45100,45727,46943,48647,49943,51783,53222,56166,60392,BELLFIELD
45567,46518,47896,48798,50031,51548,53037,54356,57341,MILL PARK
45559,46188,46647,48209,48789,50205,51539,53292,57410,BUNDOORA
60849,63114,64649,66014,66874,71867,75363,77318,81232,BANYULE
55695,56669,57883,59624,60784,63609,66115,67494,71375,MACLEOD
50370,51543,53322,54850,55984,58147,60334,62889,66131,WATSONIA
51742,53317,55031,57098,57947,60374,62946,65274,67982,BRIAR HILL
56000,56994,58366,60023,61538,67849,68178,69279,73566,DIAMOND CREEK
72987,75382,75247,75683,97556,92035,85478,81967,87073,PLENTY
69946,76640,89362,71111,72655,80861,81477,81671,89026,YARRAMBAT
70702,73699,73712,73101,84923,85436,91564,84834,89710,LOWER PLENTY
53125,54031,55882,57098,59167,62379,64929,66832,69912,MONTMORENCY
60395,61909,63081,65142,67625,70646,72749,73597,78608,ELTHAM
55364,54777,53940,54324,57769,60177,62443,64731,65055,WATTLE GLEN
69607,67869,76757,86849,87318,75598,82939,78554,98863,BEND OF ISLANDS
51184,54249,53006,55130,56650,61949,61990,62797,65242,ARTHURS CREEK
97093,98551,99748,103143,103980,104399,108372,107070,117893,COTHAM
71009,75491,75983,79601,80143,83231,85462,89114,100281,KEW EAST
77551,82832,80814,83541,79923,86118,86785,86917,89428,BALWYN
67361,68773,72038,71648,77813,80434,79169,80000,89710,BALWYN NORTH
55018,56429,59308,62555,59425,62073,63203,65418,69816,BULLEEN
67322,68564,68688,69710,73026,76030,77942,76504,78432,TEMPLESTOWE
53575,54901,56498,57671,59282,60191,61993,62850,68598,TEMPLESTOWE LOWER
49803,51015,53626,55851,55418,57117,56237,57068,60628,DONCASTER
50233,51571,51698,53561,53764,55365,55884,57515,60103,DONCASTER EAST
62347,64440,63555,70800,79017,71110,75045,70492,78394,DONVALE
66101,67561,68738,72406,73492,76120,82401,81492,84693,NORTH WARRANDYTE
75552,85451,87483,85021,81421,90594,87486,89816,97359,PARK ORCHARDS
76349,76217,74366,73373,76912,81320,92259,87572,98259,WONGA PARK
49254,50271,52608,53791,55325,58466,59653,60666,65035,CHIRNSIDE PARK
70373,73256,73815,87388,80807,81749,83564,86207,93489,BURNLEY
90146,94763,94210,98524,98046,106271,108868,107629,127443,AUBURN SOUTH
86750,91544,90680,93286,93060,97108,96895,100116,109070,AUBURN
83062,88645,89185,102281,91477,93892,96765,97746,104056,CAMBERWELL
52066,53207,53144,53620,54071,54193,54675,56458,60685,BENNETTSWOOD
103065,122004,115520,128112,123239,127985,120322,119156,126767,CAMBERWELL EAST
75870,80743,82247,82887,88106,91532,92352,93533,101420,MONT ALBERT
50657,50882,51545,53099,49667,51798,52286,53787,55495,BOX HILL
54130,56611,57237,58236,59509,60832,62675,63628,67348,BOX HILL NORTH
55653,57326,58586,60124,60610,63544,65341,66433,71109,BLACKBURN
48658,50410,51891,52780,54241,56153,57635,59234,63188,BRENTFORD SQUARE
53200,54543,54941,57334,58609,61677,61415,64514,69328,MITCHAM
51719,53719,53480,54104,56316,56853,58233,60250,63534,VERMONT
53088,54501,56413,57681,58444,61240,63199,65115,68216,HEATHWOOD
50228,51813,53050,54268,55685,58372,60713,62090,65883,BEDFORD ROAD
48880,50721,51567,53037,54273,56642,58409,60237,63564,CROYDON
46579,48406,48812,50485,52085,54328,55941,57126,61163,KILSYTH
47225,48455,49123,51209,52391,54868,56795,58151,61332,MOOROOLBARK
46143,46675,49376,49206,50639,53575,55464,56056,59662,BEENAK
48885,50483,51398,52756,53593,56072,57970,59331,62062,LILYDALE
83550,98607,98625,99538,98178,106257,104310,104577,117464,CHAPEL STREET NORTH
142000,167407,173808,190777,193904,196816,201926,184939,222967,HAWKSBURN
99243,100983,107661,112499,113641,106776,114390,114668,127671,ARMADALE
105399,120285,115791,120222,119334,128720,134231,133221,143674,KOOYONG
79243,85003,84926,85693,88410,94029,96424,96907,105316,CAULFIELD EAST
81724,86556,85749,92505,91829,96433,98826,100262,109044,GLEN IRIS
64741,70034,69052,72194,73831,76766,79236,80700,86615,ASHBURTON
51834,54810,51671,53940,54777,56623,56976,59500,64801,CHADSTONE
53939,55977,56715,58247,59005,60593,63100,63922,68306,MOUNT WAVERLEY
52417,54446,55324,55765,55781,58411,59075,60316,72259,BRANDON PARK
46303,46733,48382,49137,49731,50847,52133,53507,55095,BURWOOD EAST
49733,50968,51985,51985,53105,55218,55884,57568,60614,KNOX CITY CENTRE
46440,47094,48026,49420,49851,52231,53509,54977,57892,BAYSWATER
48653,49025,50912,54102,54280,55956,58390,60187,64408,THE BASIN
45674,46960,47550,49083,49727,51706,54007,55476,57707,BORONIA
50110,51705,52505,54183,54895,57861,59127,60868,64306,FERNTREE GULLY
49034,49672,51435,53263,54713,56975,59901,61477,63997,UPWEY
