value,value,value,value,value,value,value,value,value,suburbName
84496,91130,88087,90620,92932,94714,95232,97090,104573,NORMANHURST
55117,56542,57042,58723,59469,62381,63917,66034,69712,ASQUITH
59142,60324,61231,63424,64082,66717,68780,70661,73476,MOUNT COLAH
57023,65657,62026,59631,60418,62861,65739,67233,71076,MOUNT KURING-GAI
59011,60887,61695,64422,65481,67909,69321,71773,76715,BEROWRA
57947,59147,61615,62429,66538,67097,67925,70524,75598,BEROWRA CREEK
55357,57345,58504,61132,62178,62167,65427,69746,70120,BAR POINT
86258,87784,98632,91526,101705,98557,103108,100130,121720,AKUNA BAY
64593,69025,69487,71297,72783,75271,76744,82027,86590,BELROSE
66009,70790,71938,74125,75756,78957,80792,84288,89585,FRENCHS FOREST
71101,74988,80330,79655,79171,83653,87218,88015,94375,FORESTVILLE
137647,161579,155143,161360,158897,171904,171144,177645,188324,MOSMAN
94190,95209,100193,102762,100710,106505,112625,111716,118371,KURRABA POINT
104881,105928,107605,115355,113285,124346,118004,118857,131947,CREMORNE
104871,119506,115492,121568,124729,142874,132584,129241,142822,SEAFORTH
87048,92425,95675,99122,101350,109796,110590,113891,120721,BALGOWLAH
86664,91566,94661,97136,103351,107648,110090,109384,122140,FAIRLIGHT
87102,99066,97655,101518,112527,130679,120204,125080,137917,MANLY
78013,96406,87496,90633,93695,99791,107537,107910,123465,CURL CURL
70922,76716,75833,76397,81898,81762,85207,88298,93631,COLLAROY
58798,60873,62177,64989,65837,69891,72155,73806,79877,CROMER
61278,64553,66553,68886,71830,74681,79401,79896,86288,ALLAMBIE
63897,66985,69937,69642,71670,76120,96015,76818,81804,ELANORA HEIGHTS
65319,68014,67324,73662,74929,77488,78641,80744,90050,WARRIEWOOD
64128,66394,66302,70372,73673,74826,76931,77920,85207,MONA VALE
81817,94425,93534,97021,95246,102946,103866,125775,122762,BAYVIEW
82133,92337,86232,96571,99047,105646,106436,106911,114634,CHURCH POINT
76224,78116,79855,83861,88175,92436,95682,88918,99498,NEWPORT
73248,77408,79808,84776,84194,88665,97052,95496,109886,AVALON
96690,127995,115009,138382,230330,147940,141830,132960,166188,COASTERS RETREAT
132557,149761,152102,147757,156069,177615,164125,175907,180854,HUNTERS HILL
77483,79902,81956,85889,87513,91567,94833,100503,104120,BORONIA PARK
59149,61076,62239,64493,64746,69169,68844,70254,76346,DENISTONE EAST
59896,61231,62368,63503,65350,68148,70880,71650,78566,BLENHEIM ROAD
54250,56881,57537,59141,60221,63076,63421,66032,69841,DENISTONE
50749,52723,55211,56337,58087,58771,61550,63322,66639,ERMINGTON
49991,51204,51686,53459,54654,56584,58046,59421,62346,RYDALMERE
51378,53187,54074,54882,56133,58758,59410,64881,66298,DUNDAS
51851,54146,54666,55182,55197,56369,58066,59451,62715,CARLINGFORD
81137,82737,83056,83590,85771,88901,89473,91850,97670,BEECROFT
63072,65031,66470,67771,68726,71619,73780,75004,79024,PENNANT HILLS
60511,62597,62276,63652,64052,67499,66969,68828,73191,EPPING
51734,54059,53853,55264,54855,57140,58707,62439,82744,EASTWOOD
75277,78015,77378,78356,79247,81002,82105,85526,90956,WEST PENNANT HILLS
63806,65741,66037,66268,67281,69732,71111,73176,79005,CHERRYBROOK
60772,62532,63380,63998,62634,63176,63954,64944,69977,HOMEBUSH BAY
47427,48802,50947,48730,49961,50150,52052,53673,56810,SILVERWATER
62682,66285,67406,70985,72852,77162,80106,82558,89286,SUMMER HILL
49937,52020,52620,53731,53554,55882,57071,59738,66120,ASHFIELD
56641,59022,61098,62437,63762,65647,67532,69480,75079,CROYDON
52102,53614,54987,57922,59179,60102,62424,64429,68671,CROYDON PARK
45588,47303,48328,49368,49748,50527,49530,49545,54790,BURWOOD
60260,63608,63678,65516,66012,67545,67340,70244,77351,STRATHFIELD
53198,55809,56810,57842,57076,59006,60981,63892,67748,BURWOOD HEIGHTS
68290,71292,73034,73278,75074,78757,79625,81508,87931,BREAKFAST POINT
57246,59109,58990,60277,62319,62502,65391,67571,71331,CONCORD WEST
48103,49193,49275,50342,50133,51159,51653,53128,60385,HOMEBUSH
42632,43289,43345,44664,44740,45128,46294,47450,52928,BERALA
41448,42610,43078,43926,43919,44800,45011,45992,50287,BLAXCELL
43089,44663,45101,46047,45722,47617,49085,50517,53460,BIRRONG
36186,36273,36716,37953,37684,37686,38575,39140,44109,AUBURN
50478,52067,52944,54429,55358,57353,58988,60928,64599,CONSTITUTION HILL
