suburbName,value
BARTON,57557039
BARTON,57557039
CANBERRA,57557039
CAPITAL HILL,57557039
DEAKIN,57557039
DUNTROON,57557039
FAIRBAIRN RAAF,57557039
HARMAN,57557039
HMAS HARMAN,57557039
PARKES,57557039
PARLIAMENT HOUSE,57557039
RUSSELL,57557039
RUSSELL HILL,57557039
YARRALUMLA,57557039
ACTON,9696401
BLACK MOUNTAIN,9696401
CANBERRA,9696401
CITY,9696401
AINSLIE,39232942
DICKSON,39232942
DOWNER,39232942
HACKETT,39232942
LYNEHAM,39232942
O'CONNOR,39232942
WATSON,39232942
FORREST,63158638
GRIFFITH,63158638
MANUKA,63158638
RED HILL,63158638
CAUSEWAY,29214627
KINGSTON,29214627
NARRABUNDAH,29214627
CURTIN,40439041
GARRAN,40439041
HUGHES,40439041
CHIFLEY,15159478
LYONS,15159478
O'MALLEY,15159478
PHILLIP,15159478
SWINGER HILL,15159478
WODEN,15159478
FARRER,21126459
ISAACS,21126459
MAWSON,21126459
PEARCE,21126459
TORRENS,21126459
CANBERRA INTERNATIONAL AIRPORT,3123094
FYSHWICK,3123094
PIALLIGO,3123094
SYMONSTON,3123094
CANBERRA MC,45682
BRINDABELLA,31159552
CHAPMAN,31159552
DUFFY,31159552
FISHER,31159552
HOLDER,31159552
MOUNT STROMLO,31159552
PIERCES CREEK,31159552
RIVETT,31159552
STIRLING,31159552
URIARRA,31159552
URIARRA FOREST,31159552
WARAMANGA,31159552
WESTON,31159552
WESTON CREEK,31159552
BRADDON,41100621
CAMPBELL,41100621
REID,41100621
TURNER,41100621
ARANDA,26772109
COOK,26772109
HAWKER,26772109
JAMISON CENTRE,26772109
MACQUARIE,26772109
PAGE,26772109
SCULLIN,26772109
WEETANGERA,26772109
CHARNWOOD,20577997
DUNLOP,20577997
FOREY,20577997
FLYNN,20577997
FRASER,20577997
HIGGINS,20577997
HOLT,20577997
KIPPAX,20577997
KIPPAX CENTRE,20577997
LATHAM,20577997
MACGREGOR,20577997
MELBA,20577997
SPENCE,20577997
BELCONNEN,78478
BELCONNEN,26775761
BELCONNEN DC,26775761
BRUCE,26775761
EVATT,26775761
GIRALANG,26775761
KALEEN,26775761
LAWSON,26775761
MCKELLAR,26775761
GREENWAY,2198130
TUGGERANONG,2198130
KAMBAH,50409
ERINDALE CENTRE,11625709
OXLEY,7464589
WANNIASSA,7464589
FADDEN,10795511
GOWRIE,10795511
MACARTHUR,10795511
MONASH,10795511
BONYTHON,14347720
CALWELL,14347720
CHISHOLM,14347720
GILMORE,14347720
ISABELLA PLAINS,14347720
RICHARDSON,14347720
THEORDORE,14347720
BANKS,7668698
CONDER,7668698
GORDON,7668698
CRACE,4240287
MITCHELL,4240287
FRANKLIN,4835184
GINNINDERRA VILLAGE,31644150
NGUNNAWAL,31644150
NICHOLLS,31644150
PALMERSTON,31644150
AMAROO,19395356
BONNER,19395356
FORDE,19395356
HARRISON,449318


GUNGAHLIN,14212231
JACKA,2033193
TAYLOR,22424792
CASEY,6561341
HALL,29985372
THROSBY,3884724
FLOREY,29141221
CANBERRA CENTRAL,22941382
MOLONGLO VALLEY,14791203
MOLONGLO,34334734
DENMAN PROSPECT,29239173
COOMBS,38902342
WODEN VALLEY,35174214

MAJURA,7322413
CANBERRA AIRPORT,9235412
KOWEN,747212
JERRABOMBERRA,2472244
BEARD,2323423
HUME,3194131
THEODORE,1512354

MACNAMARA,24212402
COREE,7313413
STROMLO,3736421
PADDYS RIVER,12425234
TENNENT,19842593
COTTER RIVER,2398622
RENDEZVOUS CREEK,27752411
BOOTH,13745301
MOUNT CLEAR,29248421
