suburbName,value
BARTON,5902
BARTON,5902
CANBERRA,5902
CAPITAL HILL,5902
DEAKIN,5902
DUNTROON,5902
FAIRBAIRN RAAF,5902
HARMAN,5902
HMAS HARMAN,5902
PARKES,5902
PARLIAMENT HOUSE,5902
RUSSELL,5902
RUSSELL HILL,5902
YARRALUMLA,5902
ACTON,3588
BLACK MOUNTAIN,3588
CANBERRA,3588
CITY,3588
AINSLIE,22409
DICKSON,22409
DOWNER,22409
HACKETT,22409
LYNEHAM,22409
O'CONNOR,22409
WATSON,22409
FORREST,7231
GRIFFITH,7231
MANUKA,7231
RED HILL,7231
CAUSEWAY,8942
KINGSTON,8942
NARRABUNDAH,8942
CURTIN,7949
GARRAN,7949
HUGHES,7949
CHIFLEY,8574
LYONS,8574
O'MALLEY,8574
PHILLIP,8574
SWINGER HILL,8574
WODEN,8574
FARRER,9796
ISAACS,9796
MAWSON,9796
PEARCE,9796
TORRENS,9796
CANBERRA INTERNATIONAL AIRPORT,569
FYSHWICK,569
PIALLIGO,569
SYMONSTON,569
CANBERRA MC,66
BRINDABELLA,23178
CHAPMAN,23178
DUFFY,23178
FISHER,23178
HOLDER,23178
MOUNT STROMLO,23178
PIERCES CREEK,23178
RIVETT,23178
STIRLING,23178
URIARRA,23178
URIARRA FOREST,23178
WARAMANGA,23178
WESTON,23178
WESTON CREEK,23178
BRADDON,13248
CAMPBELL,13248
REID,13248
TURNER,13248
ARANDA,13505
COOK,13505
HAWKER,13505
JAMISON CENTRE,13505
MACQUARIE,13505
PAGE,13505
SCULLIN,13505
WEETANGERA,13505
CHARNWOOD,29853
DUNLOP,29853
FOREY,29853
FLYNN,29853
FRASER,29853
HIGGINS,29853
HOLT,29853
KIPPAX,29853
KIPPAX CENTRE,29853
LATHAM,29853
MACGREGOR,29853
MELBA,29853
SPENCE,29853
BELCONNEN,112
BELCONNEN,25580
BELCONNEN DC,25580
BRUCE,25580
EVATT,25580
GIRALANG,25580
KALEEN,25580
LAWSON,25580
MCKELLAR,25580
GREENWAY,2888
TUGGERANONG,2888
KAMBAH,56
ERINDALE CENTRE,9929
OXLEY,6184
WANNIASSA,6184
FADDEN,8680
GOWRIE,8680
MACARTHUR,8680
MONASH,8680
BONYTHON,18571
CALWELL,18571
CHISHOLM,18571
GILMORE,18571
ISABELLA PLAINS,18571
RICHARDSON,18571
THEORDORE,18571
BANKS,11799
CONDER,11799
GORDON,11799
CRACE,3135
MITCHELL,3135
FRANKLIN,5817
GINNINDERRA VILLAGE,25690
NGUNNAWAL,25690
NICHOLLS,25690
PALMERSTON,25690
AMAROO,21423
BONNER,21423
FORDE,21423
HARRISON,172


GUNGAHLIN, 21234
JACKA, 20982
TAYLOR, 24799
CASEY, 26340
HALL, 25986
THROSBY, 19872
FLOREY, 29710
CANBERRA CENTRAL, 22938
MOLONGLO VALLEY, 19320
MOLONGLO, 24352
DENMAN PROSPECT, 18991
COOMBS, 21902
WODEN VALLEY, 25176

MAJURA, 19273
CANBERRA AIRPORT, 7425
KOWEN, 12977
JERRABOMBERRA, 2347
BEARD, 213
HUME, 391
THEODORE, 592

MACNAMARA, 13400
COREE,10741
STROMLO, 17632
PADDYS RIVER, 12452
TENNENT, 9819
COTTER RIVER, 9298
RENDEZVOUS CREEK, 7541
BOOTH, 3740
MOUNT CLEAR, 2942
