suburbName,value
BARTON,12060850
BARTON,12060850
CANBERRA,12060850
CAPITAL HILL,12060850
DEAKIN,12060850
DUNTROON,12060850
FAIRBAIRN RAAF,12060850
HARMAN,12060850
HMAS HARMAN,12060850
PARKES,12060850
PARLIAMENT HOUSE,12060850
RUSSELL,12060850
RUSSELL HILL,12060850
YARRALUMLA,12060850
ACTON,811120
BLACK MOUNTAIN,811120
CANBERRA,811120
CITY,811120
AINSLIE,9505293
DICKSON,9505293
DOWNER,9505293
HACKETT,9505293
LYNEHAM,9505293
O'CONNOR,9505293
WATSON,9505293
FORREST,13215677
GRIFFITH,13215677
MANUKA,13215677
RED HILL,13215677
CAUSEWAY,3386174
KINGSTON,3386174
NARRABUNDAH,3386174
CURTIN,11879161
GARRAN,11879161
HUGHES,11879161
CHIFLEY,2493064
LYONS,2493064
O'MALLEY,2493064
PHILLIP,2493064
SWINGER HILL,2493064
WODEN,2493064
FARRER,3156603
ISAACS,3156603
MAWSON,3156603
PEARCE,3156603
TORRENS,3156603
CANBERRA INTERNATIONAL AIRPORT,82701
FYSHWICK,82701
PIALLIGO,82701
SYMONSTON,82701
CANBERRA MC,7858
BRINDABELLA,6138966
CHAPMAN,6138966
DUFFY,6138966
FISHER,6138966
HOLDER,6138966
MOUNT STROMLO,6138966
PIERCES CREEK,6138966
RIVETT,6138966
STIRLING,6138966
URIARRA,6138966
URIARRA FOREST,6138966
WARAMANGA,6138966
WESTON,6138966
WESTON CREEK,6138966
BRADDON,4646172
CAMPBELL,4646172
REID,4646172
TURNER,4646172
ARANDA,6354454
COOK,6354454
HAWKER,6354454
JAMISON CENTRE,6354454
MACQUARIE,6354454
PAGE,6354454
SCULLIN,6354454
WEETANGERA,6354454
CHARNWOOD,6500264
DUNLOP,6500264
FOREY,6500264
FLYNN,6500264
FRASER,6500264
HIGGINS,6500264
HOLT,6500264
KIPPAX,6500264
KIPPAX CENTRE,6500264
LATHAM,6500264
MACGREGOR,6500264
MELBA,6500264
SPENCE,6500264
BELCONNEN,52195
BELCONNEN,6871221
BELCONNEN DC,6871221
BRUCE,6871221
EVATT,6871221
GIRALANG,6871221
KALEEN,6871221
LAWSON,6871221
MCKELLAR,6871221
GREENWAY,494162
TUGGERANONG,494162
KAMBAH,7716
ERINDALE CENTRE,2441462
OXLEY,1428282
WANNIASSA,1428282
FADDEN,2089928
GOWRIE,2089928
MACARTHUR,2089928
MONASH,2089928
BONYTHON,3191280
CALWELL,3191280
CHISHOLM,3191280
GILMORE,3191280
ISABELLA PLAINS,3191280
RICHARDSON,3191280
THEORDORE,3191280
BANKS,1853470
CONDER,1853470
GORDON,1853470
CRACE,547781
MITCHELL,547781
FRANKLIN,689058
GINNINDERRA VILLAGE,4346720
NGUNNAWAL,4346720
NICHOLLS,4346720
PALMERSTON,4346720
AMAROO,3358196
BONNER,3358196
FORDE,3358196
HARRISON,33045


GUNGAHLIN, 1421231
JACKA, 2203193
TAYLOR, 2844792
CASEY, 3656341
HALL, 2998372
THROSBY, 3389724
FLOREY, 4214121
CANBERRA CENTRAL, 1241382
MOLONGLO VALLEY, 2179303
MOLONGLO, 4353474
DENMAN PROSPECT, 2923173
COOMBS, 2382342
WODEN VALLEY, 3357414

MAJURA, 3732413
CANBERRA AIRPORT, 4292512
KOWEN, 3997712
JERRABOMBERRA, 2824244
BEARD, 3832342
HUME, 4831131
THEODORE, 2152354

MACNAMARA, 3241202
COREE, 2731413
STROMLO, 3537361
PADDYS RIVER, 4145234
TENNENT, 3194293
COTTER RIVER, 2423982
RENDEZVOUS CREEK, 3752411
BOOTH, 4134301
MOUNT CLEAR, 3294421

