suburbName,value
BARTON,10421207
BARTON,10421207
CANBERRA,10421207
CAPITAL HILL,10421207
DEAKIN,10421207
DUNTROON,10421207
FAIRBAIRN RAAF,10421207
HARMAN,10421207
HMAS HARMAN,10421207
PARKES,10421207
PARLIAMENT HOUSE,10421207
RUSSELL,10421207
RUSSELL HILL,10421207
YARRALUMLA,10421207
ACTON,1793579
BLACK MOUNTAIN,1793579
CANBERRA,1793579
CITY,1793579
AINSLIE,10879593
DICKSON,10879593
DOWNER,10879593
HACKETT,10879593
LYNEHAM,10879593
O'CONNOR,10879593
WATSON,10879593
FORREST,14845078
GRIFFITH,14845078
MANUKA,14845078
RED HILL,14845078
CAUSEWAY,7902611
KINGSTON,7902611
NARRABUNDAH,7902611
CURTIN,7416979
GARRAN,7416979
HUGHES,7416979
CHIFLEY,3962655
LYONS,3962655
O'MALLEY,3962655
PHILLIP,3962655
SWINGER HILL,3962655
WODEN,3962655
FARRER,8345762
ISAACS,8345762
MAWSON,8345762
PEARCE,8345762
TORRENS,8345762
CANBERRA INTERNATIONAL AIRPORT,1294054
FYSHWICK,1294054
PIALLIGO,1294054
SYMONSTON,1294054
CANBERRA MC,2482
BRINDABELLA,9206557
CHAPMAN,9206557
DUFFY,9206557
FISHER,9206557
HOLDER,9206557
MOUNT STROMLO,9206557
PIERCES CREEK,9206557
RIVETT,9206557
STIRLING,9206557
URIARRA,9206557
URIARRA FOREST,9206557
WARAMANGA,9206557
WESTON,9206557
WESTON CREEK,9206557
BRADDON,9145241
CAMPBELL,9145241
REID,9145241
TURNER,9145241
ARANDA,8896496
COOK,8896496
HAWKER,8896496
JAMISON CENTRE,8896496
MACQUARIE,8896496
PAGE,8896496
SCULLIN,8896496
WEETANGERA,8896496
CHARNWOOD,6300056
DUNLOP,6300056
FOREY,6300056
FLYNN,6300056
FRASER,6300056
HIGGINS,6300056
HOLT,6300056
KIPPAX,6300056
KIPPAX CENTRE,6300056
LATHAM,6300056
MACGREGOR,6300056
MELBA,6300056
SPENCE,6300056
BELCONNEN,119970
BELCONNEN,11610198
BELCONNEN DC,11610198
BRUCE,11610198
EVATT,11610198
GIRALANG,11610198
KALEEN,11610198
LAWSON,11610198
MCKELLAR,11610198
GREENWAY,628842
TUGGERANONG,628842
KAMBAH,39402
ERINDALE CENTRE,3663887
OXLEY,2115331
WANNIASSA,2115331
FADDEN,3737685
GOWRIE,3737685
MACARTHUR,3737685
MONASH,3737685
BONYTHON,4006682
CALWELL,4006682
CHISHOLM,4006682
GILMORE,4006682
ISABELLA PLAINS,4006682
RICHARDSON,4006682
THEORDORE,4006682
BANKS,1578444
CONDER,1578444
GORDON,1578444
CRACE,1194330
MITCHELL,1194330
FRANKLIN,771428
GINNINDERRA VILLAGE,6032015
NGUNNAWAL,6032015
NICHOLLS,6032015
PALMERSTON,6032015
AMAROO,2923642
BONNER,2923642
FORDE,2923642
HARRISON,49138


GUNGAHLIN,31421231
JACKA,29203193
TAYLOR,28244792
CASEY,37656341
HALL,29983572
THROSBY,3898724
FLOREY,29104121
CANBERRA CENTRAL,22941382
MOLONGLO VALLEY,14793203
MOLONGLO,34353474
DENMAN PROSPECT,29239173
COOMBS,38902342
WODEN VALLEY,35174214

MAJURA,2732413
CANBERRA AIRPORT,29425412
KOWEN,9977212
JERRABOMBERRA,8247244
BEARD,8232342
HUME,8319131
THEODORE,8152354

MACNAMARA,2412402
COREE,731413
STROMLO,5373621
PADDYS RIVER,1245234
TENNENT,1984293
COTTER RIVER,239822
RENDEZVOUS CREEK,2752411
BOOTH,1374301
MOUNT CLEAR,2924421
