suburbName,value
BARTON,7632871
BARTON,7632871
CANBERRA,7632871
CAPITAL HILL,7632871
DEAKIN,7632871
DUNTROON,7632871
FAIRBAIRN RAAF,7632871
HARMAN,7632871
HMAS HARMAN,7632871
PARKES,7632871
PARLIAMENT HOUSE,7632871
RUSSELL,7632871
RUSSELL HILL,7632871
YARRALUMLA,7632871
ACTON,3761176
BLACK MOUNTAIN,3761176
CANBERRA,3761176
CITY,3761176
AINSLIE,26492673
DICKSON,26492673
DOWNER,26492673
HACKETT,26492673
LYNEHAM,26492673
O'CONNOR,26492673
WATSON,26492673
FORREST,9383869
GRIFFITH,9383869
MANUKA,9383869
RED HILL,9383869
CAUSEWAY,12799507
KINGSTON,12799507
NARRABUNDAH,12799507
CURTIN,10183163
GARRAN,10183163
HUGHES,10183163
CHIFLEY,12490104
LYONS,12490104
O'MALLEY,12490104
PHILLIP,12490104
SWINGER HILL,12490104
WODEN,12490104
FARRER,12380678
ISAACS,12380678
MAWSON,12380678
PEARCE,12380678
TORRENS,12380678
CANBERRA INTERNATIONAL AIRPORT,651542
FYSHWICK,651542
PIALLIGO,651542
SYMONSTON,651542
CANBERRA MC,93484
BRINDABELLA,31060792
CHAPMAN,31060792
DUFFY,31060792
FISHER,31060792
HOLDER,31060792
MOUNT STROMLO,31060792
PIERCES CREEK,31060792
RIVETT,31060792
STIRLING,31060792
URIARRA,31060792
URIARRA FOREST,31060792
WARAMANGA,31060792
WESTON,31060792
WESTON CREEK,31060792
BRADDON,16035444
CAMPBELL,16035444
REID,16035444
TURNER,16035444
ARANDA,15302486
COOK,15302486
HAWKER,15302486
JAMISON CENTRE,15302486
MACQUARIE,15302486
PAGE,15302486
SCULLIN,15302486
WEETANGERA,15302486
CHARNWOOD,40023006
DUNLOP,40023006
FOREY,40023006
FLYNN,40023006
FRASER,40023006
HIGGINS,40023006
HOLT,40023006
KIPPAX,40023006
KIPPAX CENTRE,40023006
LATHAM,40023006
MACGREGOR,40023006
MELBA,40023006
SPENCE,40023006
BELCONNEN,143693
BELCONNEN,32307949
BELCONNEN DC,32307949
BRUCE,32307949
EVATT,32307949
GIRALANG,32307949
KALEEN,32307949
LAWSON,32307949
MCKELLAR,32307949
GREENWAY,3707045
TUGGERANONG,3707045
KAMBAH,63101
ERINDALE CENTRE,11985743
OXLEY,7733815
WANNIASSA,7733815
FADDEN,10427153
GOWRIE,10427153
MACARTHUR,10427153
MONASH,10427153
BONYTHON,25496989
CALWELL,25496989
CHISHOLM,25496989
GILMORE,25496989
ISABELLA PLAINS,25496989
RICHARDSON,25496989
THEORDORE,25496989
BANKS,16699635
CONDER,16699635
GORDON,16699635
CRACE,4933431
MITCHELL,4933431
FRANKLIN,7985672
GINNINDERRA VILLAGE,36461456
NGUNNAWAL,36461456
NICHOLLS,36461456
PALMERSTON,36461456
AMAROO,33541419
BONNER,33541419
FORDE,33541419
HARRISON,350770


GUNGAHLIN,31421231
JACKA,29203193
TAYLOR,28244792
CASEY,37656341
HALL,29983572
THROSBY,3898724
FLOREY,29104121
CANBERRA CENTRAL,22941382
MOLONGLO VALLEY,14793203
MOLONGLO,34353474
DENMAN PROSPECT,29239173
COOMBS,38902342
WODEN VALLEY,35174214

MAJURA,2732413
CANBERRA AIRPORT,29425412
KOWEN,9977212
JERRABOMBERRA,8247244
BEARD,8232342
HUME,8319131
THEODORE,8152354

MACNAMARA,2412402
COREE,731413
STROMLO,5373621
PADDYS RIVER,1245234
TENNENT,1984293
COTTER RIVER,239822
RENDEZVOUS CREEK,2752411
BOOTH,1374301
MOUNT CLEAR,2924421
