suburbName,value
BARTON,125194598
BARTON,125194598
CANBERRA,125194598
CAPITAL HILL,125194598
DEAKIN,125194598
DUNTROON,125194598
FAIRBAIRN RAAF,125194598
HARMAN,125194598
HMAS HARMAN,125194598
PARKES,125194598
PARLIAMENT HOUSE,125194598
RUSSELL,125194598
RUSSELL HILL,125194598
YARRALUMLA,125194598
ACTON,16328901
BLACK MOUNTAIN,16328901
CANBERRA,16328901
CITY,16328901
AINSLIE,112320132
DICKSON,112320132
DOWNER,112320132
HACKETT,112320132
LYNEHAM,112320132
O'CONNOR,112320132
WATSON,112320132
FORREST,122933886
GRIFFITH,122933886
MANUKA,122933886
RED HILL,122933886
CAUSEWAY,46302240
KINGSTON,46302240
NARRABUNDAH,46302240
CURTIN,63324761
GARRAN,63324761
HUGHES,63324761
CHIFLEY,36833334
LYONS,36833334
O'MALLEY,36833334
PHILLIP,36833334
SWINGER HILL,36833334
WODEN,36833334
FARRER,95836588
ISAACS,95836588
MAWSON,95836588
PEARCE,95836588
TORRENS,95836588
CANBERRA INTERNATIONAL AIRPORT,11219520
FYSHWICK,11219520
PIALLIGO,11219520
SYMONSTON,11219520
CANBERRA MC,106726
BRINDABELLA,123213232
CHAPMAN,123213232
DUFFY,123213232
FISHER,123213232
HOLDER,123213232
MOUNT STROMLO,123213232
PIERCES CREEK,123213232
RIVETT,123213232
STIRLING,123213232
URIARRA,123213232
URIARRA FOREST,123213232
WARAMANGA,123213232
WESTON,123213232
WESTON CREEK,123213232
BRADDON,70091806
CAMPBELL,70091806
REID,70091806
TURNER,70091806
ARANDA,356172912
COOK,35617291
HAWKER,356172912
JAMISON CENTRE,356172912
MACQUARIE,356172912
PAGE,35617291
SCULLIN,356172912
WEETANGERA,35617291
CHARNWOOD,140385806
DUNLOP,140385806
FOREY,140385806
FLYNN,140385806
FRASER,140385806
HIGGINS,140385806
HOLT,140385806
KIPPAX,140385806
KIPPAX CENTRE,140385806
LATHAM,140385806
MACGREGOR,140385806
MELBA,140385806
SPENCE,140385806
BELCONNEN,694102
BELCONNEN,142729905
BELCONNEN DC,142729905
BRUCE,142729905
EVATT,142729905
GIRALANG,142729905
KALEEN,142729905
LAWSON,142729905
MCKELLAR,142729905
GREENWAY,15949778
TUGGERANONG,15949778
KAMBAH,184499
ERINDALE CENTRE,56125188
OXLEY,27996731
WANNIASSA,27996731
FADDEN,41778076
GOWRIE,41778076
MACARTHUR,41778076
MONASH,41778076
BONYTHON,89798134
CALWELL,89798134
CHISHOLM,89798134
GILMORE,89798134
ISABELLA PLAINS,89798134
RICHARDSON,89798134
THEORDORE,89798134
BANKS,71718107
CONDER,71718107
GORDON,71718107
CRACE,23406266
MITCHELL,23406266
FRANKLIN,26970245
GINNINDERRA VILLAGE,136808313
NGUNNAWAL,136808313
NICHOLLS,136808313
PALMERSTON,136808313
AMAROO,104724745
BONNER,104724745
FORDE,104724745
HARRISON,844993


GUNGAHLIN,31421231
JACKA,29203193
TAYLOR,28244792
CASEY,37656341
HALL,29983572
THROSBY,3898724
FLOREY,29104121
CANBERRA CENTRAL,22941382
MOLONGLO VALLEY,14793203
MOLONGLO,34353474
DENMAN PROSPECT,29239173
COOMBS,38902342
WODEN VALLEY,35174214

MAJURA,2732413
CANBERRA AIRPORT,29425412
KOWEN,9977212
JERRABOMBERRA,8247244
BEARD,8232342
HUME,8319131
THEODORE,8152354

MACNAMARA,2412402
COREE,731413
STROMLO,5373621
PADDYS RIVER,1245234
TENNENT,1984293
COTTER RIVER,239822
RENDEZVOUS CREEK,2752411
BOOTH,1374301
MOUNT CLEAR,2924421
